,name,rest_id,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),rating_encoded
5224,Marzipan Cafe & Bakery,1927.0,Online,booking_not_available,4.2,432.0,Ulsoor,"Cafe, Bakery","Coffee, Cheesecake, Chicken Baguette, Pasta, Mudcake, Wedges, Hot Chocolate","Cafe, Mediterranean, Bakery, Greek, Beverages",700.0,Delivery,19.0
5225,Bozo's Yum Yums,1928.0,Online,booking_not_available,4.0,90.0,Frazer Town,"Takeaway, Delivery","Burgers, Beef Burger, Sandwiches, Fries, Bacon Burger","Fast Food, Burger, American",650.0,Delivery,21.0
5226,Skoolroom,1929.0,Online,booking_not_available,4.3,570.0,Ulsoor,Cafe,"Chocolate Overload, Burgers, Pasta, Peri Peri Chicken Pizza, Peri Peri Chicken Burger, Momos, Freak Shake","Cafe, Continental, Italian, Burger, Beverages",700.0,Delivery,18.0
5227,Pind Balluchi,1930.0,Online,booking_available,4.0,1021.0,Brigade Road,Casual Dining,"Palak Paneer, Mango Lassi, Panner Tikka, Veg Platter, Dal Makhani, Chicken Rara, Malai Tikka","North Indian, Mughlai",700.0,Delivery,13.0
5228,Cream Chemistry,1931.0,Online,booking_not_available,3.9,148.0,Frazer Town,Dessert Parlor,"Rolls, Ice Cream Roll","Ice Cream, Desserts",500.0,Delivery,19.0
5229,The Brekkie Shop,1932.0,Online,booking_not_available,3.5,64.0,MG Road,Takeaway,"Pasta, Fruit Parfait","Healthy Food, Sandwich",300.0,Delivery,16.0
5232,WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,1933.0,Online,booking_not_available,4.0,85.0,Residency Road,"Dessert Parlor, Quick Bites","Waffles, Pie, Corn Dog","Cafe, Fast Food, Desserts, Beverages",400.0,Delivery,10.0
5234,Hotel Ramprasad,1934.0,Online,booking_not_available,4.2,93.0,Brigade Road,Quick Bites,"Filter Coffee, Kesari Bath, Curd Rice, Idli Vada, Crispy Masala Dosa, Masala Tea, Thick Coconut Chutney","South Indian, Chinese",300.0,Delivery,21.0
5236,Anna Kuteera,1935.0,Online,booking_not_available,3.8,62.0,St. Marks Road,Casual Dining,"Panner Tikka, Coffee, Vada, Idli","South Indian, North Indian, Chinese",400.0,Delivery,15.0
5239,Lassi Shop,1936.0,Online,booking_not_available,3.8,83.0,Indiranagar,"Dessert Parlor, Beverage Shop","Lassi, Faluda","Beverages, Juices, Ice Cream",100.0,Delivery,18.0
5240,Kitchen of Joy,1937.0,Online,booking_not_available,4.1,569.0,Indiranagar,Quick Bites,"Rolls, Egg Roll, Chai, Ginger Tea, Biryani, Rasgulla, Luchi","Fast Food, Bengali, Rolls",400.0,Delivery,22.0
5242,Haji Ali Juice Centre,1938.0,Online,booking_not_available,4.0,78.0,Commercial Street,"Quick Bites, Beverage Shop","Sandwiches, Rose Faluda, Pizza, Custard Apple Cream, Pav Bhaji","Fast Food, Pizza, Rolls, Beverages, Juices",350.0,Delivery,19.0
5243,Domino's Pizza,1939.0,Online,booking_not_available,3.9,117.0,MG Road,Quick Bites,"Pizza, Garlic Bread","Pizza, Fast Food",800.0,Delivery,21.0
5244,Mama Mia!,1940.0,Online,booking_not_available,4.3,422.0,Indiranagar,"Dessert Parlor, Cafe","Gelato, Strawberry Sundae, Hot Chocolate, Brownie, Wedges, Peri Peri Fries, Thick Shakes","Desserts, Cafe",400.0,Delivery,24.0
5245,Shaadi Ki Biryani,1941.0,Online,booking_not_available,2.8,296.0,Commercial Street,Casual Dining,"Mutton Biryani, Brinjal Curry, Chicken Biryani, Kheer, Hyderabadi Biryani, Raita, Kebab Platter",Biryani,600.0,Delivery,21.0
5247,Shiro,1942.0,Online,booking_available,4.4,2229.0,Lavelle Road,"Fine Dining, Lounge","Sushi, Dumplings, Sea Food, Chocolate Volcano, Lamb, Sunday Brunch, Chicken Yakitori","Japanese, Asian",3000.0,Delivery,12.0
5249,Thai House,1943.0,Online,booking_not_available,4.2,127.0,Brigade Road,Casual Dining,"Tom Yum Soup, Fish, Salad",Thai,700.0,Delivery,21.0
5250,InnerChef,1944.0,Online,booking_not_available,3.7,270.0,Indiranagar,Delivery,"Salads, Pasta, Dal Makhani, Paratha, Chole, Red Velvet Cake, Butter Chicken","North Indian, Continental",500.0,Delivery,13.0
5254,Steaming Mugs,1945.0,Online,booking_not_available,3.9,241.0,Basavanagudi,Cafe,"Fries, Oreo Shake, Pasta Arrabiata",Cafe,700.0,Delivery,17.0
5257,Church Street Social,1946.0,Online,booking_not_available,4.3,7544.0,Church Street,Lounge,"Paneer Biryani, Cocktails, Mocktails, Nachos, Taco Soup, Pork Ribs, Hot Dog","American, North Indian, Chinese, Finger Food, Momos",1500.0,Delivery,18.0
5258,Mad Over Donuts,1947.0,Online,booking_not_available,3.9,148.0,Brigade Road,Food Court,Donut,"Bakery, Desserts, Beverages",450.0,Delivery,18.0
5259,Sheesh Kebab,1948.0,Online,booking_not_available,4.1,68.0,Frazer Town,Casual Dining,"Naan, Mutton Kebab, Memon Mutton Biryani, Mutton Keema",North Indian,700.0,Delivery,13.0
5260,Just Shawarma,1949.0,Online,booking_not_available,3.8,110.0,Ulsoor,Quick Bites,"Rolls, Whole Meat Shawarma",Arabian,300.0,Delivery,20.0
5262,The Belgian Waffle Co.,1950.0,Online,booking_not_available,4.0,71.0,Indiranagar,Dessert Parlor,"Waffles, Pancakes",Desserts,400.0,Delivery,16.0
5265,Bangalore Masala House,1951.0,Online,booking_not_available,4.2,255.0,Vasanth Nagar,Cafe,"Peri Peri Chicken, Shikanji, Peri Peri Pizza, Burgers, Steak, Bun Maskas, Pasta","Cafe, Continental, Fast Food",500.0,Delivery,20.0
5268,Sweet Truth,1952.0,Online,booking_not_available,4.2,50.0,Koramangala 8th Block,Delivery,"Cheesecake, Chocolate Fantasy, Chocolate Cake, Chocolate Decadence, Brownie, Red Velvet, Chocolava Cake","Bakery, Desserts",500.0,Delivery,13.0
5269,Green Theory,1953.0,Online,booking_available,4.2,2840.0,Residency Road,"Casual Dining, Cafe","Potato Skins, Pizza, Mushroom Soup, Pasta, Banana Smoothie, Almond Soup, Kiwi Lemonade","Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza",800.0,Delivery,18.0
5270,Srinidhi Sagar Food Line,1954.0,Online,booking_not_available,3.7,129.0,Indiranagar,Quick Bites,"Vada, Masala Dosa, Filter Coffee","South Indian, North Indian, Chinese",40.0,Delivery,17.0
5272,Pabrai's Fresh & Naturelle Icecreams,1955.0,Online,booking_not_available,4.2,131.0,Brigade Road,Dessert Parlor,"Apple Pie, Mascarpone Cheese, Nolen Gurer Ice Cream, Paan Ice Cream, Nolen Gur, Gur Ice Cream, Salted Caramel","Ice Cream, Desserts",180.0,Delivery,13.0
5273,Ibaco,1956.0,Online,booking_not_available,4.0,289.0,Indiranagar,Dessert Parlor,"Icecream Cake, Almond Crunch, Cream Cake, Belgian Chocoholic",Desserts,300.0,Delivery,23.0
5276,The Egg Factory,1957.0,Online,booking_not_available,4.2,1764.0,St. Marks Road,Casual Dining,"Omelette, French Toast, Bun Masala, Pasta, Egg Pav Bhaji, Fajitas, Paneer Wrap","Continental, American",750.0,Delivery,20.0
5277,Firewood Biryani,1958.0,Online,booking_not_available,3.9,454.0,Residency Road,Quick Bites,"Hariyali Chicken, Rice Kheer, Chicken Kebab, Chicken Biryani, Firewood Biryani, Mutton Biryani, Badam Phirni","Biryani, Kebab, Rolls",400.0,Delivery,20.0
5278,Sweet Chariot,1959.0,Online,booking_not_available,3.8,111.0,Cunningham Road,Dessert Parlor,"Chicken Lasagne, Chocolate Cake, Mushroom Quiche, Sandwiches, Pizza, Steak","Bakery, Fast Food",500.0,Delivery,20.0
5279,Venus Biryani,1960.0,Online,booking_not_available,3.0,144.0,Domlur,Quick Bites,Dum Biryani,"Biryani, Chinese",200.0,Delivery,18.0
5280,Dolci Desserts,1961.0,Online,booking_not_available,4.3,652.0,Cunningham Road,"Cafe, Dessert Parlor","Cappuccino, Eclair, Pizza, Coffee, Blueberry Cheesecake, Oreo Cheesecake, Tiramisu","Cafe, Desserts",750.0,Delivery,18.0
5283,Kartik's Mithai Shoppe,1962.0,Online,booking_not_available,4.1,110.0,Indiranagar,"Quick Bites, Sweet Shop","Chaat, Panipuri, Chole Bhature, Rasmalai, Chhole Bhature, Sev Puri, Samosa","Mithai, Street Food",150.0,Delivery,20.0
5284,Desi Deck,1963.0,Online,booking_available,3.9,96.0,Brigade Road,"Casual Dining, Bar","Balti Gosht, Cocktails, Dal Makhani","Mughlai, North Indian, Desserts",1300.0,Delivery,21.0
5286,Hoppipola,1964.0,Online,booking_not_available,4.3,1703.0,Church Street,Lounge,"Masala Peanuts, Cocktails, Paratha, Pizza, Pasta, Burgers, Brownie","Continental, Mediterranean, European",1300.0,Delivery,19.0
5291,Chichaba's Taj,1965.0,Online,booking_not_available,3.9,442.0,Frazer Town,Casual Dining,"Mutton Biryani, Paya Soup, Bheja Masala, Phirni, Brain Fry, Chicken Kebab, Chicken Grill","Biryani, North Indian, Mughlai",600.0,Delivery,19.0
5292,99 Pancakes,1966.0,Online,booking_not_available,4.1,41.0,Church Street,Dessert Parlor,Nutella Pancakes,"Desserts, Ice Cream",150.0,Delivery,20.0
5293,Beijing Bites,1967.0,Online,booking_not_available,3.8,262.0,Richmond Road,Casual Dining,"Manchurian, Noodles, Basil Chicken, Chop Suey, Triple Schezwan, Dragon Chicken, Schezwan Rice","Chinese, Thai",850.0,Delivery,11.0
5294,Kabab Korner,1968.0,Online,booking_not_available,3.9,205.0,St. Marks Road,Casual Dining,"Rolls, Biryani, Chilli Chicken, Seekh Kebab, Rumali Roti, Burgers, Butter Naan","North Indian, Chinese, Fast Food",500.0,Delivery,10.0
5297,Foodhall,1969.0,Online,booking_not_available,4.0,113.0,MG Road,Casual Dining,"Pasta, Salads, Sandwich, Coffee, Tea, Sandwiches","Italian, Bakery, Fast Food",1000.0,Delivery,15.0
5298,Ciclo Cafe,1970.0,Online,booking_not_available,4.3,1283.0,Indiranagar,"Cafe, Casual Dining","Pizza, Cheesy Fries, Tiramisu, Ravioli Pasta, Salads, Cocktails, Burgers","Cafe, Italian, American",1000.0,Delivery,21.0
5300,Wolf'ish,1971.0,Online,booking_not_available,4.1,459.0,Church Street,Cafe,"Burgers, Fries, Mojito, Bbq Chicken Pizza, Pasta, Potato Wedges, Peri Peri Chicken","Cafe, American, Italian, Pizza, Burger",700.0,Delivery,23.0
5301,Alibaba Cafe and Restaurant,1972.0,Online,booking_not_available,3.9,450.0,Frazer Town,Casual Dining,"Biryani, Irani Chai, Tea, Lemonade, Mezze Platter, Shawarma, Plain Rice","Arabian, Middle Eastern",700.0,Delivery,11.0
5302,Infinitea Tea Room & Tea Store,1973.0,Online,booking_available,4.3,858.0,Cunningham Road,"Casual Dining, Cafe","Tea, Momos, Tiramisu, Sandwiches, Pesto Pasta, Sandwich, Chips","Continental, Cafe, Desserts, Salad, Momos",1000.0,Delivery,12.0
5306,Amande Patisserie,1974.0,Online,booking_not_available,4.2,231.0,Lavelle Road,"Bakery, Dessert Parlor","Macaroon, Fruit Tart, Opera Cake, Belgian Dark Chocolate, Orange Tart, Eclair, Chocolate Mousse","Bakery, French, Desserts",300.0,Delivery,18.0
5307,Qissa Khawani,1975.0,Online,booking_not_available,4.4,319.0,Church Street,Casual Dining,"Lassi, Paratha, Chicken Tikka, Mutton Pulao, Dal Makhani, Garlic Naan, Kheer","North Indian, Mughlai",800.0,Delivery,20.0
5308,Ayda Persian Kitchen,1976.0,Online,booking_not_available,3.9,224.0,Church Street,Casual Dining,"Roti, Naan, Butter Chicken, Biryani, Saffron Rice, Mutton Kebab, Lassi","North Indian, Iranian",950.0,Delivery,18.0
5310,Tewari Bros Mithai Shoppie,1977.0,Online,booking_not_available,3.8,59.0,Commercial Street,Sweet Shop,"Dhokla, Raj Kachori, Rabri","Fast Food, Mithai",300.0,Delivery,5.0
5313,Cafe Coffee Day,1978.0,Online,booking_not_available,3.3,65.0,Brigade Road,Cafe,Cappuccino,"Cafe, Fast Food",900.0,Delivery,10.0
5315,Vinny's,1979.0,Online,booking_not_available,3.9,206.0,Brigade Road,Casual Dining,"Pizza, Pasta, Mozzarella Sticks, Mocktails, Tiramisu, Fries, Salad","Pizza, Italian, Continental, Desserts",800.0,Delivery,12.0
5316,Sagar Delicacy,1980.0,Online,booking_not_available,3.9,87.0,Ulsoor,Casual Dining,"Handi Biryani, Sandwich","North Indian, Chinese, Fast Food, Street Food",500.0,Delivery,18.0
5320,Carnival de Goa,1981.0,Online,booking_available,4.2,980.0,Ulsoor,"Casual Dining, Bar","Sea Food, Spicy Crab Soup, Cocktails, Squid Fry, Prawn Curry, Lobster, Fish Curry","Goan, Mangalorean, Pizza",1000.0,Delivery,12.0
5321,McDonald's,1982.0,Online,booking_not_available,3.7,184.0,Brigade Road,Quick Bites,"Burgers, Mc Spicy Chicken, Chicken Burger, Maharaja Mac","Burger, Fast Food",500.0,Delivery,18.0
5322,Northern Route,1983.0,Online,booking_not_available,4.1,159.0,St. Marks Road,Quick Bites,"Paratha, Paneer Pakora, Chole Bhature, Rajma Chawal, Chaach, Lassi, Buttermilk","North Indian, Street Food",300.0,Delivery,22.0
5325,The Open Box,1984.0,Online,booking_available,4.2,2270.0,St. Marks Road,"Casual Dining, Bar","Mocktails, Cocktails, Pizza, Butter Chicken Burger, Paan Ice Cream, Sangria, Margarita","European, North Indian, Mediterranean, Asian, Salad",1400.0,Delivery,18.0
5326,Double Decker,1985.0,Offline,booking_available,4.3,2651.0,Brigade Road,"Bar, Casual Dining","Bbq Pizza, Pasta, Sangria, Cocktails, Mocktails, Virgin Mojito, Potato Wedges","Continental, North Indian",1300.0,Delivery,20.0
5328,Toscano,1986.0,Online,booking_available,4.4,1840.0,Lavelle Road,Casual Dining,"Pizza, Pepperoni, Wine, Salads, Tiramisu, Chicken Bruschetta, Sangria","Italian, Salad",1500.0,Delivery,7.0
5329,Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,1987.0,Online,booking_not_available,3.1,54.0,Indiranagar,Delivery,"Burgers, Pasta, Sandwiches",Continental,500.0,Delivery,20.0
5330,Dakshin Biryani & Tiffin,1988.0,Online,booking_not_available,3.4,334.0,Indiranagar,Casual Dining,"Biryani, Multi Grain Dosa, Kheer, Egg Bhurji, Sooji Halwa, Tamarind Chicken, Coffee","Andhra, South Indian, North Indian",550.0,Delivery,12.0
5331,Pizza Stop,1989.0,Online,booking_not_available,3.5,73.0,Lavelle Road,Kiosk,"Pizza, Pasta, Garlic Bread, Nachos","Pizza, Italian",600.0,Delivery,20.0
5332,Mudpipe Cafe,1990.0,Online,booking_not_available,4.2,739.0,Cunningham Road,Cafe,"Sandwiches, Lemonade, Nachos, Mozzarella Sticks, Fries, Pasta, Pizza","Cafe, Continental, Italian, Burger",750.0,Delivery,28.0
5336,Chocolate D'Luxe,1991.0,Online,booking_not_available,4.1,183.0,Lavelle Road,Dessert Parlor,"Coffee, Sandwiches, Hot Chocolate, Tiramisu, Latte, Cup Cake, Brownie",Desserts,550.0,Delivery,24.0
5338,NoLimmits Lounge and Club,1992.0,Online,booking_available,4.0,2103.0,Brigade Road,Club,"Salads, Chicken Bbq Wings, Sandwiches, Pasta, Biryani, Pizza, Popcorn","Chinese, Continental, North Indian, Burger, Pizza",2000.0,Delivery,26.0
5343,Mangalore pearl - Seafood Restaurant,1993.0,Online,booking_not_available,4.3,94.0,Ulsoor,Casual Dining,"Sea Food, Murgh Ghee Roast, Fish Fry, Neer Dosa, Bread Pudding, Caramel Custard, Crab Soup","Mangalorean, Seafood",550.0,Delivery,24.0
5346,20 Feet High,1994.0,Online,booking_available,4.0,932.0,Church Street,"Casual Dining, Bar","Burgers, Mocktails, Pasta, Cocktails, Beef Steak, Lunch Buffet, Chicken Steak","American, Continental, Steak, Salad",1000.0,Delivery,22.0
5348,Bean Flickers,1995.0,Online,booking_not_available,4.3,392.0,Indiranagar,Cafe,"Burgers, Coffee, Mutton Burger, Sandwiches, Hot Chocolate, Fries, Sandwich","Cafe, American, Fast Food, Coffee, Continental",700.0,Delivery,22.0
5349,7 Plates,1996.0,Online,booking_not_available,3.9,169.0,Frazer Town,Quick Bites,"Rolls, Biryani, Butter Chicken, Chicken Manchurian Roll","North Indian, Mughlai, Rolls, Fast Food",600.0,Delivery,24.0
5350,Munchies,1997.0,Online,booking_not_available,3.9,64.0,Brigade Road,"Quick Bites, Bakery","Burgers, Sandwiches, Momos, Chicken Seekh Roll, Sandwich","Fast Food, Bakery",250.0,Delivery,17.0
5352,Rasovara,1998.0,Online,booking_available,4.3,763.0,Lavelle Road,Casual Dining,"Thali, Aamras, Malpua, Lassi, Plain Rice, Buttermilk, Chaat","Rajasthani, North Indian",1400.0,Delivery,20.0
5354,Kobe Sizzlers,1999.0,Online,booking_not_available,4.1,1117.0,Brigade Road,Casual Dining,"Potato Mash, Sizzler Brownie, Steak, Pasta, Caramel Custard, Spicy Chicken Sizzler, Spaghetti","American, Continental, Fast Food, Steak",1500.0,Delivery,13.0
5355,Cafe Idly,2000.0,Online,booking_not_available,3.7,81.0,Frazer Town,Quick Bites,"Coffee, Idli, Masala Dosa, Burgers","South Indian, Fast Food",200.0,Delivery,18.0
5358,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Mor'ish,2001.0,Online,booking_not_available,4.1,114.0,Richmond Road,Cafe,"Coffee, Pizza, Pasta, Burgers, Eggs Benedict, Brownie Fudge, Salad","BBQ, Continental, Burger, Wraps, Pizza, Cafe",700.0,Delivery,19.0
5360,Airlines Hotel,2002.0,Online,booking_not_available,4.0,867.0,Lavelle Road,Quick Bites,"Chole, Tea, Filter Coffee, Vada, Upma, Butter Masala Dosa, Idli","South Indian, North Indian, Street Food",400.0,Delivery,20.0
5362,Pai Vihar,2003.0,Online,booking_not_available,2.8,54.0,Vasanth Nagar,Quick Bites,"Masala Dosa, Coffee","South Indian, Street Food, Chinese, Fast Food",400.0,Delivery,20.0
5363,Crunch Pizzas,2004.0,Online,booking_not_available,2.9,330.0,Domlur,Delivery,"Thin Crust Pizza, Pepperoni, Pie","Italian, Pizza",600.0,Delivery,17.0
5364,Eat At Nite,2005.0,Online,booking_not_available,3.2,56.0,Frazer Town,"Takeaway, Delivery","Fried Rice, Biryani","North Indian, Chinese, Rolls",400.0,Delivery,19.0
5368,Sri Udupi Park,2006.0,Online,booking_not_available,3.8,106.0,Residency Road,Quick Bites,"Vada, Idli, Kharabath, Noodles, Filter Coffee","South Indian, Chinese",200.0,Delivery,22.0
5371,Chantilly,2007.0,Online,booking_not_available,4.1,115.0,Indiranagar,"Cafe, Bakery","Cheesecake, Sandwiches, Tiramisu, Coffee, Hot Chocolate, Red Velvet Cake, Brownie","Cafe, Bakery",450.0,Delivery,19.0
5375,Cafe Terra,2008.0,Online,booking_not_available,4.2,391.0,Indiranagar,Cafe,"English Breakfast, Waffles, Chicken Lasagne, Pasta, Watermelon Juice, Momos, Thukpa","Cafe, Continental, Fast Food",500.0,Delivery,23.0
5377,Charminar Kabab Paradise,2009.0,Online,booking_not_available,4.0,104.0,Frazer Town,Casual Dining,"Rolls, Biryani, Chicken Roll, Chicken Kebab, Mutton Seekh Roll, Keema Roti","North Indian, Chinese, Mughlai, Kebab",500.0,Delivery,21.0
5378,Cream Stone,2010.0,Online,booking_not_available,4.0,78.0,Frazer Town,Dessert Parlor,"Nutella Brownie, Ferrero Rocher","Desserts, Beverages",500.0,Delivery,21.0
5379,EatWater,2011.0,Online,booking_not_available,4.2,121.0,Lavelle Road,"Casual Dining, Bar","Saffron Pilaf, Banana Chips, Cheesecake, Tender Coconut Ice Cream, Paratha, Begun Pora, Mocha Chingri",North Eastern,1000.0,Delivery,18.0
5380,The Coffee Bean & Tea Leaf,2012.0,Online,booking_not_available,3.8,260.0,MG Road,Cafe,"Coffee, Sandwiches, Blueberry Muffin, Pancakes, Espresso, Cappuccino, Cheesecake",Cafe,700.0,Delivery,15.0
5383,Step Right Up,2013.0,Online,booking_not_available,4.1,152.0,Vasanth Nagar,Cafe,"Burgers, Peri Peri Fries, Exotic Pizza, Sandwiches, Veggie Pizza, White Sauce Pasta, French Fries","Cafe, Italian",300.0,Delivery,19.0
5384,Zaks Mediterranean Cuisine,2014.0,Online,booking_not_available,3.9,256.0,Frazer Town,Casual Dining,"Biryani, Shawarma, Kunafa, Pita Bread, Fattoush Salad","Mediterranean, Arabian, Lebanese, Rolls",700.0,Delivery,20.0
5388,The Chariot,2015.0,Online,booking_not_available,2.9,50.0,Brigade Road,Quick Bites,"Masala Dosa, Panneer Butter Masala, Thali","South Indian, North Indian, Chinese",350.0,Delivery,17.0
5389,The J,2016.0,Online,booking_not_available,4.0,134.0,Church Street,Quick Bites,"Fried Cheese, French Fries, Maggi, Thick Shakes, Chilli Cheese Fries, Tea","Fast Food, Beverages",450.0,Delivery,13.0
5390,ZOROY Luxury Chocolate,2017.0,Online,booking_not_available,4.0,68.0,Church Street,Dessert Parlor,Hot Chocolate,Desserts,250.0,Delivery,21.0
5391,Kanteen 038,2018.0,Online,booking_not_available,3.9,51.0,Indiranagar,Quick Bites,"Chai, Maggi, English Breakfast","Tea, Beverages, Fast Food",200.0,Delivery,6.0
5392,Donne Biriyani Mane,2019.0,Online,booking_not_available,3.5,62.0,Church Street,Quick Bites,"Donne Biryani, Mutton Biryani","Biryani, Kebab",400.0,Delivery,18.0
5394,A2B - Adyar Ananda Bhavan,2020.0,Online,booking_not_available,3.9,184.0,Shanti Nagar,Casual Dining,"Coffee, Roti, Pongal, Idli, Ghee Masala Dosa, Thali, Chaat","South Indian, Fast Food, Street Food",400.0,Delivery,11.0
5395,Le Rock,2021.0,Online,booking_not_available,4.0,1203.0,Brigade Road,"Bar, Quick Bites","Cocktails, Pizza, Murgh Platter, Draught Beer, Chicken Wings, Veg Platter, Fries","Continental, Chinese",2000.0,Delivery,12.0
5399,Hotel Chandrika,2022.0,Online,booking_not_available,3.8,208.0,Cunningham Road,Casual Dining,"Thali, Filter Coffee, Vada, Rava Idli, Masala Dosa, Stuffed Kulcha, Naan","South Indian, North Indian, Chinese, Street Food",400.0,Delivery,16.0
5400,Gowdru Hotel,2023.0,Online,booking_not_available,3.9,200.0,Indiranagar,Quick Bites,"Mutton Chops, Mutton Fry, Brain Fry, Mutton Masala, Mutton Curry, Donne Biryani, Chicken Curry","South Indian, Biryani",400.0,Delivery,17.0
5401,Cafe Braqa,2024.0,Online,booking_available,4.0,144.0,Indiranagar,Cafe,"Ginger Tea, Cup Cake, Sandwich, Pasta, Cappuccino, Pizza, Cheese Sticks","Cafe, Italian, Continental, Beverages",700.0,Delivery,17.0
5403,Naachiyar's,2025.0,Online,booking_not_available,3.9,117.0,Ulsoor,Casual Dining,"Crab Soup, Raita, Kozhi Biryani, Mutton Biryani",Chettinad,600.0,Delivery,18.0
5405,BLOW,2026.0,Online,booking_available,4.2,937.0,Church Street,Cafe,"Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe","Cafe, Continental, American, Burger",750.0,Delivery,17.0
5406,Cobaja,2027.0,Online,booking_available,4.3,61.0,Brigade Road,Casual Dining,"Badam Milk, Cocktails, Mutton Liver Fry, Paan Mojito, Veg Thali, Mocktails, Neer Dosa","Seafood, South Indian, Bar Food, Mangalorean, Konkan",700.0,Delivery,18.0
5407,Brownie Heaven,2028.0,Online,booking_not_available,4.2,33.0,Cunningham Road,Dessert Parlor,"Filter Coffee, Triple Chocolate, Brownie Chocolate, Vanilla Ice Cream, Brownie Shake, Tiramisu, Chocolate Shake","Desserts, Fast Food",300.0,Delivery,20.0
5410,The Bundle Co.,2029.0,Online,booking_not_available,4.4,222.0,MG Road,Quick Bites,"Burgers, Salad, Mocktails, Pasta Arrabiata, Fries, Nutella Cheesecake, Teriyaki Chicken Wings","Burger, Continental, Italian, Beverages",700.0,Delivery,19.0
5412,The Grill House,2030.0,Online,booking_available,4.1,765.0,Ulsoor,"Casual Dining, Bar","Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff","American, Mexican, Italian, Steak",1200.0,Delivery,5.0
5413,Mountain Spice,2031.0,Online,booking_not_available,3.9,186.0,Koramangala 8th Block,Quick Bites,"Momos, Chicken Lollipop, Chicken Momo, Noodles, Chicken Thukpa","Chinese, Nepalese, Tibetan, Momos",400.0,Delivery,10.0
5415,Petoo,2032.0,Offline,booking_not_available,3.7,32.0,Commercial Street,Casual Dining,Biryani,"North Indian, Fast Food, Street Food",800.0,Delivery,13.0
5417,Kumbakonam Degree Coffee,2033.0,Online,booking_not_available,3.8,66.0,Indiranagar,Quick Bites,"Filter Coffee, Mini Idlis","South Indian, Fast Food",200.0,Delivery,16.0
5418,C Sharp Kitchen,2034.0,Online,booking_not_available,3.4,50.0,Church Street,Casual Dining,"Paratha, Tea, Pasta, Omelette, Rolls, Sandwich","North Indian, Chinese, European",600.0,Delivery,21.0
5419,Nossa Goa,2035.0,Online,booking_available,4.1,294.0,Richmond Road,Casual Dining,"Breakfast Platter, Roast Chicken, Sea Food, Calamari, Waffles, Chorizo Pav, Prawn Curry","Goan, Seafood, Konkan, Desserts",1000.0,Delivery,21.0
5420,Shyvan Restaurant,2036.0,Online,booking_not_available,3.6,82.0,Shanti Nagar,Casual Dining,"Mutton Biryani, Noodles, Butter Chicken, Naan, Panneer Butter Masala","North Indian, Chinese",500.0,Delivery,17.0
5421,Red Lantern,2037.0,Online,booking_not_available,3.7,162.0,Cunningham Road,Casual Dining,"Noodles, Phad Thai, Sweet Corn Soup, Chop Suey","Chinese, Thai",700.0,Delivery,20.0
5423,Kitchen On Table,2038.0,Online,booking_not_available,4.0,48.0,Brigade Road,Casual Dining,"Sushi, Sea Food","Japanese, Sushi, Asian",1500.0,Delivery,21.0
5424,Chung Wah Express,2039.0,Online,booking_not_available,2.8,94.0,Indiranagar,Casual Dining,"Noodles, Kung Pao Vegetables, Sweet Corn Soup, Chowmein, Prawn","Chinese, Thai, Momos, Vietnamese",600.0,Delivery,21.0
5425,Ujwal Restaurant,2040.0,Online,booking_not_available,3.9,134.0,Vasanth Nagar,Casual Dining,"Tender Coconut Chicken, Sea Food, Paneer Pakora, Chicken Biryani, Kori Roti, Fish Fry, Beer","Seafood, North Indian, Chinese",550.0,Delivery,21.0
5426,GMT - Gelateria Montecatini Terme,2041.0,Online,booking_not_available,4.4,69.0,Lavelle Road,Quick Bites,"Irish Coffee, Gelato Ice Cream, Italian Icecream, Chocolate Cake","Desserts, Ice Cream",300.0,Delivery,20.0
5427,Trick Or Treat,2042.0,Offline,booking_not_available,4.2,618.0,Brigade Road,Cafe,"Burgers, Sandwich, Peri Peri Chicken Satay, Fries, Nachos, Sandwiches, Pesto Pasta","Cafe, Burger, Continental, Pizza, Steak",500.0,Delivery,21.0
5429,Gokul Kuteera,2043.0,Online,booking_not_available,3.9,257.0,Indiranagar,Casual Dining,"Manchow Soup, Spring Roll, Masala Papad, Curd Rice, Malai Kofta, Roti, Thali","North Indian, Chinese, South Indian",650.0,Delivery,12.0
5430,The Souk,2044.0,Online,booking_not_available,3.7,66.0,Ulsoor,Cafe,"Mediterranean Platter, Brownie, Pasta, Burgers, Cheesy Garlic Bread, Steak","Cafe, Mediterranean, Italian, Pizza, Continental",800.0,Delivery,21.0
5431,Cafe Imroze,2045.0,Online,booking_not_available,3.6,95.0,Infantry Road,"Cafe, Casual Dining","Pasta, Burgers, Fries, Bbq Chicken Pizza, Peri Peri Chicken Pizza, Bbq Burger, Nachos","Cafe, Burger, Italian, Fast Food",650.0,Delivery,16.0
